"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
56,"retired","divorced","secondary","no",-890,"yes","no","cellular",10,"jul",467,1,-1,0,"unknown","no"
28,"admin.","single","secondary","no",136,"no","no","cellular",16,"jun",355,1,-1,0,"unknown","yes"
30,"technician","divorced","secondary","no",3100,"yes","no","unknown",21,"may",154,4,-1,0,"unknown","no"
38,"management","married","tertiary","no",0,"no","no","cellular",12,"aug",119,2,-1,0,"unknown","no"
59,"retired","married","secondary","no",1121,"yes","no","cellular",15,"jul",249,2,-1,0,"unknown","no"
27,"entrepreneur","single","tertiary","no",81,"no","no","cellular",5,"feb",197,1,199,3,"failure","no"
37,"technician","married","secondary","no",183,"yes","no","unknown",12,"may",194,2,-1,0,"unknown","no"
36,"technician","married","tertiary","no",98,"no","no","cellular",4,"feb",146,1,-1,0,"unknown","no"
34,"management","married","tertiary","no",703,"yes","no","cellular",14,"apr",342,1,-1,0,"unknown","yes"
49,"management","married","tertiary","no",0,"no","no","cellular",29,"aug",102,2,-1,0,"unknown","no"
57,"self-employed","married","secondary","no",7747,"no","no","cellular",7,"aug",102,2,-1,0,"unknown","no"
45,"housemaid","married","primary","no",317,"yes","no","cellular",8,"apr",325,2,-1,0,"unknown","no"
29,"blue-collar","married","secondary","no",-305,"yes","yes","cellular",7,"jul",263,1,-1,0,"unknown","no"
38,"management","married","tertiary","no",1440,"no","no","cellular",11,"aug",111,2,-1,0,"unknown","no"
27,"technician","single","secondary","no",1742,"yes","no","unknown",16,"may",787,1,-1,0,"unknown","yes"
33,"admin.","divorced","secondary","yes",-18,"yes","no","cellular",6,"may",244,1,359,3,"failure","no"
27,"technician","married","secondary","no",639,"yes","no","unknown",26,"may",633,1,-1,0,"unknown","no"
40,"management","married","secondary","no",363,"yes","yes","cellular",26,"may",135,1,104,2,"failure","no"
32,"admin.","single","secondary","no",92,"yes","no","cellular",18,"may",110,1,315,2,"failure","no"
37,"technician","single","secondary","no",-242,"yes","no","cellular",13,"aug",1149,6,-1,0,"unknown","yes"
31,"admin.","married","secondary","no",122,"yes","no","cellular",15,"may",49,1,364,1,"failure","no"
53,"blue-collar","married","secondary","no",5700,"yes","no","unknown",14,"may",97,1,-1,0,"unknown","no"
32,"management","single","tertiary","no",47,"no","no","cellular",19,"aug",133,4,-1,0,"unknown","no"
52,"blue-collar","married","primary","no",281,"yes","no","cellular",16,"apr",55,4,335,3,"other","no"
54,"admin.","married","primary","no",0,"yes","no","cellular",30,"jan",520,3,-1,0,"unknown","no"
62,"housemaid","married","secondary","no",2,"no","no","cellular",3,"nov",322,1,-1,0,"unknown","yes"
43,"services","married","secondary","no",3689,"yes","no","cellular",20,"apr",165,1,321,1,"failure","no"
40,"blue-collar","single","secondary","no",169,"yes","no","cellular",20,"apr",214,1,346,1,"failure","no"
33,"management","divorced","secondary","no",106,"no","no","cellular",20,"aug",175,3,-1,0,"unknown","no"
29,"admin.","married","secondary","no",73,"yes","no","cellular",16,"jul",252,2,-1,0,"unknown","no"
40,"management","married","tertiary","no",3352,"yes","no","telephone",23,"oct",138,1,-1,0,"unknown","yes"
58,"retired","married","tertiary","no",258,"no","yes","cellular",19,"aug",285,1,-1,0,"unknown","no"
39,"services","married","secondary","no",323,"no","no","cellular",3,"dec",1804,3,182,3,"other","no"
42,"technician","married","unknown","no",1559,"no","no","cellular",11,"aug",155,1,103,1,"success","no"
50,"blue-collar","divorced","primary","no",1629,"yes","no","cellular",14,"may",67,1,-1,0,"unknown","no"
49,"technician","divorced","tertiary","no",0,"no","no","cellular",19,"aug",68,2,-1,0,"unknown","no"
51,"management","married","tertiary","no",583,"no","no","cellular",26,"may",109,1,-1,0,"unknown","no"
30,"technician","single","secondary","no",9645,"no","yes","cellular",26,"aug",130,10,-1,0,"unknown","no"
44,"entrepreneur","single","tertiary","no",1136,"yes","yes","cellular",3,"apr",345,2,249,7,"other","no"
28,"blue-collar","single","secondary","no",352,"yes","yes","unknown",27,"may",125,3,-1,0,"unknown","no"
29,"services","single","unknown","no",196,"no","no","cellular",30,"jan",726,2,-1,0,"unknown","yes"
59,"housemaid","married","primary","no",370,"yes","no","cellular",9,"jul",425,1,-1,0,"unknown","no"
40,"blue-collar","married","primary","no",303,"no","no","unknown",30,"may",104,6,-1,0,"unknown","no"
23,"blue-collar","single","primary","no",965,"yes","no","unknown",21,"may",1161,4,-1,0,"unknown","no"
58,"blue-collar","married","secondary","no",590,"no","yes","cellular",19,"nov",136,1,167,1,"failure","no"
29,"technician","divorced","secondary","no",124,"no","no","unknown",27,"may",125,1,-1,0,"unknown","no"
49,"technician","single","secondary","no",-188,"yes","yes","cellular",17,"nov",454,1,-1,0,"unknown","yes"
62,"retired","married","secondary","no",2917,"no","no","cellular",11,"oct",123,2,182,2,"failure","no"
31,"admin.","single","secondary","no",779,"yes","yes","cellular",3,"apr",219,2,-1,0,"unknown","no"
52,"blue-collar","married","primary","no",-63,"yes","no","unknown",26,"may",560,4,-1,0,"unknown","no"
41,"blue-collar","married","primary","no",164,"yes","no","cellular",12,"may",150,4,330,11,"other","no"
28,"self-employed","married","tertiary","no",120,"yes","yes","unknown",8,"may",130,3,-1,0,"unknown","no"
56,"blue-collar","single","primary","no",533,"no","yes","cellular",11,"jul",166,1,-1,0,"unknown","no"
50,"blue-collar","married","secondary","no",19,"no","no","cellular",17,"jul",209,4,-1,0,"unknown","no"
57,"technician","married","primary","no",67,"no","no","unknown",5,"jun",67,1,-1,0,"unknown","no"
54,"blue-collar","married","primary","no",10662,"no","no","unknown",19,"jun",256,1,-1,0,"unknown","no"
35,"unemployed","married","tertiary","no",226,"no","no","unknown",27,"may",322,5,-1,0,"unknown","no"
42,"admin.","married","secondary","no",0,"no","no","unknown",19,"jun",370,1,-1,0,"unknown","no"
29,"management","single","tertiary","no",7345,"no","no","cellular",30,"apr",222,1,-1,0,"unknown","no"
37,"blue-collar","married","primary","no",287,"yes","no","telephone",20,"apr",73,3,325,3,"failure","no"
34,"management","single","tertiary","no",6766,"no","no","cellular",28,"aug",210,5,-1,0,"unknown","no"
35,"admin.","married","secondary","no",220,"yes","no","cellular",2,"feb",153,4,244,13,"failure","no"
48,"management","married","tertiary","no",571,"yes","yes","cellular",19,"nov",77,2,-1,0,"unknown","no"
55,"services","married","secondary","no",3546,"yes","yes","cellular",31,"jul",268,2,-1,0,"unknown","no"
32,"unemployed","married","secondary","no",11524,"yes","no","cellular",19,"nov",289,3,-1,0,"unknown","no"
36,"management","married","tertiary","no",287,"yes","yes","cellular",15,"jul",119,5,-1,0,"unknown","no"
51,"technician","divorced","secondary","no",2323,"yes","yes","cellular",18,"aug",151,10,-1,0,"unknown","no"
29,"services","married","secondary","no",0,"yes","yes","cellular",6,"may",315,1,281,15,"other","no"
35,"technician","married","secondary","no",0,"yes","no","telephone",19,"nov",125,1,-1,0,"unknown","no"
50,"management","married","tertiary","no",451,"yes","no","cellular",14,"may",441,3,-1,0,"unknown","no"
57,"self-employed","married","secondary","no",2109,"no","no","cellular",21,"aug",107,6,-1,0,"unknown","no"
24,"student","single","tertiary","no",235,"no","no","cellular",9,"nov",118,1,-1,0,"unknown","yes"
25,"admin.","single","secondary","no",18,"yes","no","cellular",22,"jul",129,1,-1,0,"unknown","no"
36,"technician","married","secondary","no",1840,"no","no","cellular",19,"aug",61,6,-1,0,"unknown","no"
39,"technician","married","secondary","no",376,"no","no","unknown",20,"jun",160,3,-1,0,"unknown","no"
36,"self-employed","single","tertiary","no",353,"no","no","cellular",11,"aug",361,2,181,2,"success","yes"
42,"blue-collar","single","secondary","no",7547,"no","no","cellular",29,"jul",1569,2,-1,0,"unknown","no"
31,"technician","single","tertiary","no",244,"no","no","cellular",25,"aug",170,4,-1,0,"unknown","no"
33,"management","single","tertiary","no",3161,"yes","no","cellular",2,"apr",313,3,-1,0,"unknown","yes"
38,"admin.","single","secondary","no",883,"yes","no","cellular",12,"may",95,1,327,9,"other","no"
32,"admin.","single","tertiary","no",170,"no","no","cellular",18,"nov",74,1,-1,0,"unknown","no"
33,"admin.","single","secondary","no",-15,"no","no","telephone",12,"may",326,3,350,2,"failure","no"
48,"technician","married","secondary","no",17,"yes","yes","cellular",17,"nov",81,1,-1,0,"unknown","no"
49,"technician","divorced","secondary","no",-54,"yes","yes","cellular",25,"jul",214,1,-1,0,"unknown","no"
27,"student","single","tertiary","no",118,"no","no","cellular",25,"may",112,1,-1,0,"unknown","no"
52,"management","married","secondary","no",173,"no","no","unknown",23,"may",48,5,-1,0,"unknown","no"
32,"services","married","secondary","no",255,"yes","yes","unknown",21,"may",86,2,-1,0,"unknown","no"
47,"management","single","tertiary","no",255,"no","yes","cellular",30,"jul",802,4,-1,0,"unknown","yes"
31,"technician","single","secondary","no",118,"no","no","cellular",2,"feb",50,1,-1,0,"unknown","no"
40,"technician","married","secondary","no",581,"yes","no","cellular",8,"aug",258,2,-1,0,"unknown","no"
30,"management","married","tertiary","no",1235,"yes","no","cellular",28,"jul",104,3,-1,0,"unknown","no"
36,"blue-collar","single","secondary","no",507,"yes","no","cellular",22,"may",210,1,-1,0,"unknown","no"
31,"entrepreneur","divorced","tertiary","no",1767,"no","no","telephone",25,"jul",395,6,-1,0,"unknown","no"
32,"admin.","married","secondary","no",203,"yes","yes","cellular",7,"may",219,2,-1,0,"unknown","no"
56,"blue-collar","married","primary","no",151,"no","no","cellular",3,"feb",128,1,-1,0,"unknown","no"
35,"services","married","secondary","no",843,"yes","no","unknown",27,"may",120,2,-1,0,"unknown","no"
40,"self-employed","married","secondary","yes",-754,"yes","yes","unknown",3,"jun",941,3,-1,0,"unknown","yes"
35,"blue-collar","married","secondary","no",2074,"no","no","cellular",6,"feb",183,4,-1,0,"unknown","no"
44,"admin.","married","secondary","no",32,"no","yes","unknown",16,"jun",241,3,-1,0,"unknown","no"
41,"technician","married","secondary","no",4004,"no","no","cellular",17,"apr",314,2,-1,0,"unknown","yes"
50,"management","married","tertiary","no",161,"no","no","cellular",26,"aug",19,17,-1,0,"unknown","no"
39,"management","single","tertiary","no",3281,"no","no","unknown",9,"jun",90,4,-1,0,"unknown","no"
37,"blue-collar","married","primary","no",-106,"yes","yes","cellular",12,"may",690,1,-1,0,"unknown","yes"
25,"services","single","secondary","no",-41,"no","yes","cellular",14,"jul",114,2,-1,0,"unknown","no"
51,"housemaid","married","secondary","yes",-1013,"yes","no","unknown",26,"may",664,1,-1,0,"unknown","no"
53,"admin.","married","secondary","no",1203,"no","no","cellular",21,"nov",6,7,-1,0,"unknown","no"
49,"technician","divorced","secondary","yes",-757,"yes","yes","unknown",2,"jun",68,1,-1,0,"unknown","no"
44,"admin.","married","secondary","no",1807,"yes","yes","cellular",8,"apr",229,1,313,1,"failure","no"
43,"admin.","married","secondary","no",132,"no","no","cellular",19,"aug",574,1,84,3,"success","yes"
43,"blue-collar","married","secondary","no",408,"yes","no","unknown",14,"sep",6,1,838,3,"other","no"
43,"management","divorced","tertiary","no",-132,"yes","yes","cellular",7,"jul",532,2,-1,0,"unknown","no"
43,"management","married","tertiary","no",2616,"yes","no","cellular",14,"aug",301,5,-1,0,"unknown","no"
32,"management","married","tertiary","no",1014,"no","no","cellular",20,"aug",194,6,-1,0,"unknown","no"
30,"technician","single","tertiary","no",8138,"yes","no","cellular",12,"aug",227,2,-1,0,"unknown","no"
61,"retired","married","primary","no",0,"yes","yes","telephone",18,"aug",280,13,-1,0,"unknown","no"
31,"self-employed","single","tertiary","no",578,"yes","no","cellular",17,"apr",664,1,319,4,"failure","no"
40,"blue-collar","single","secondary","no",411,"yes","no","cellular",5,"may",197,1,-1,0,"unknown","no"
42,"blue-collar","married","primary","no",-25,"yes","no","unknown",12,"may",62,2,-1,0,"unknown","no"
53,"technician","married","secondary","no",-46,"no","no","cellular",29,"jan",87,2,-1,0,"unknown","no"
51,"services","married","unknown","no",3413,"no","no","cellular",27,"aug",146,7,-1,0,"unknown","no"
58,"retired","divorced","primary","no",11,"no","yes","cellular",10,"jul",161,5,-1,0,"unknown","no"
55,"management","married","tertiary","no",496,"no","no","cellular",25,"may",85,1,-1,0,"unknown","no"
57,"retired","married","secondary","no",1749,"no","no","cellular",17,"nov",288,2,-1,0,"unknown","no"
31,"admin.","single","secondary","no",3950,"yes","no","cellular",21,"nov",529,1,-1,0,"unknown","yes"
28,"blue-collar","married","secondary","no",-717,"yes","no","unknown",28,"may",148,3,-1,0,"unknown","no"
51,"technician","married","secondary","no",-153,"no","no","cellular",20,"aug",62,4,-1,0,"unknown","no"
46,"unemployed","divorced","secondary","no",0,"no","no","cellular",30,"jul",638,3,-1,0,"unknown","no"
38,"technician","married","secondary","no",5115,"yes","no","cellular",2,"jun",318,1,95,7,"success","yes"
44,"services","single","secondary","no",2886,"no","no","unknown",20,"jun",31,1,-1,0,"unknown","no"
41,"blue-collar","married","primary","no",1356,"yes","no","cellular",13,"may",50,2,-1,0,"unknown","no"
47,"blue-collar","married","secondary","no",2787,"no","no","cellular",11,"aug",479,1,-1,0,"unknown","yes"
36,"management","single","tertiary","no",-38,"yes","no","unknown",14,"may",784,1,-1,0,"unknown","no"
55,"self-employed","single","secondary","no",2607,"yes","no","unknown",14,"may",38,1,-1,0,"unknown","no"
27,"self-employed","single","tertiary","no",139,"no","no","cellular",29,"jan",144,3,-1,0,"unknown","no"
38,"technician","married","secondary","no",4030,"yes","no","cellular",19,"nov",75,2,177,5,"failure","no"
46,"retired","married","secondary","no",119,"no","yes","cellular",30,"jul",85,2,-1,0,"unknown","no"
59,"management","divorced","tertiary","no",262,"no","no","unknown",5,"may",178,1,-1,0,"unknown","no"
39,"management","single","tertiary","no",3840,"yes","no","cellular",11,"aug",315,2,-1,0,"unknown","yes"
37,"admin.","married","tertiary","no",1995,"yes","no","cellular",11,"aug",48,2,-1,0,"unknown","no"
42,"blue-collar","married","primary","no",187,"yes","no","unknown",3,"jun",43,1,-1,0,"unknown","no"
31,"admin.","single","tertiary","no",1531,"yes","no","unknown",28,"may",48,5,-1,0,"unknown","no"
36,"admin.","married","secondary","no",212,"yes","yes","cellular",23,"jul",1201,6,-1,0,"unknown","yes"
67,"retired","married","secondary","no",1146,"no","no","cellular",13,"aug",187,2,-1,0,"unknown","no"
55,"management","married","tertiary","no",540,"no","no","cellular",19,"nov",124,2,-1,0,"unknown","no"
31,"management","single","tertiary","no",354,"no","no","cellular",21,"apr",242,2,-1,0,"unknown","yes"
49,"housemaid","married","primary","no",0,"yes","no","cellular",17,"jul",51,1,-1,0,"unknown","no"
50,"blue-collar","married","primary","no",216,"yes","no","telephone",13,"may",137,1,369,2,"failure","no"
52,"admin.","single","secondary","no",2332,"no","no","cellular",29,"jul",108,2,-1,0,"unknown","no"
29,"blue-collar","married","secondary","no",2870,"yes","no","cellular",16,"jul",988,1,-1,0,"unknown","yes"
55,"management","married","secondary","no",0,"yes","no","unknown",13,"may",309,2,-1,0,"unknown","no"
59,"retired","married","primary","no",413,"yes","yes","cellular",9,"feb",109,5,-1,0,"unknown","no"
59,"services","married","secondary","no",108,"no","no","cellular",11,"aug",120,4,-1,0,"unknown","no"
27,"student","single","secondary","no",1177,"no","no","cellular",3,"mar",133,1,-1,0,"unknown","no"
47,"admin.","divorced","secondary","no",136,"no","yes","cellular",23,"jul",70,1,-1,0,"unknown","no"
40,"management","married","tertiary","no",121,"no","no","unknown",8,"may",82,1,-1,0,"unknown","no"
45,"entrepreneur","married","secondary","no",128,"no","yes","cellular",18,"nov",275,2,-1,0,"unknown","no"
36,"admin.","married","secondary","no",898,"no","no","cellular",15,"jul",118,5,-1,0,"unknown","no"
32,"unemployed","single","secondary","no",2706,"no","no","cellular",21,"nov",462,3,-1,0,"unknown","no"
35,"management","single","tertiary","no",592,"no","yes","unknown",14,"may",192,1,-1,0,"unknown","no"
35,"technician","single","secondary","no",183,"no","no","cellular",24,"apr",78,2,-1,0,"unknown","no"
35,"services","married","secondary","no",240,"yes","yes","cellular",11,"may",161,2,-1,0,"unknown","no"
27,"admin.","single","secondary","no",3638,"no","no","cellular",11,"jul",271,5,-1,0,"unknown","no"
24,"student","single","tertiary","no",1535,"yes","no","unknown",12,"may",126,2,-1,0,"unknown","no"
25,"technician","single","secondary","no",945,"yes","no","cellular",24,"jul",561,4,-1,0,"unknown","no"
39,"technician","married","tertiary","no",1889,"no","no","cellular",29,"jan",108,2,-1,0,"unknown","no"
29,"blue-collar","married","secondary","no",195,"yes","no","cellular",11,"may",333,1,-1,0,"unknown","no"
29,"technician","married","primary","no",95,"yes","no","cellular",21,"jul",255,1,-1,0,"unknown","no"
24,"technician","single","tertiary","no",368,"no","no","cellular",7,"oct",197,2,-1,0,"unknown","no"
43,"blue-collar","divorced","secondary","no",110,"yes","yes","unknown",6,"may",448,1,-1,0,"unknown","no"
56,"blue-collar","married","secondary","no",-256,"yes","yes","cellular",14,"may",92,1,370,2,"failure","no"
45,"management","married","tertiary","no",-192,"yes","no","cellular",6,"may",138,3,-1,0,"unknown","no"
34,"technician","single","tertiary","no",2257,"yes","no","unknown",9,"may",62,1,-1,0,"unknown","no"
25,"blue-collar","single","primary","no",292,"yes","yes","cellular",18,"may",1027,2,-1,0,"unknown","yes"
30,"blue-collar","single","primary","no",253,"yes","no","cellular",5,"may",259,1,-1,0,"unknown","yes"
35,"admin.","married","secondary","no",8652,"yes","no","unknown",24,"jun",103,6,-1,0,"unknown","no"
36,"management","married","tertiary","no",5057,"yes","no","cellular",17,"nov",70,1,166,10,"failure","no"
39,"technician","married","tertiary","no",94,"no","no","cellular",7,"aug",70,2,-1,0,"unknown","no"
54,"admin.","married","secondary","no",263,"no","yes","telephone",29,"jan",283,4,195,7,"failure","no"
34,"admin.","married","secondary","no",0,"no","yes","cellular",22,"jul",136,2,-1,0,"unknown","no"
30,"blue-collar","single","secondary","no",573,"yes","no","unknown",12,"may",116,2,-1,0,"unknown","no"
23,"blue-collar","single","secondary","no",0,"yes","no","cellular",8,"may",6,5,350,2,"failure","no"
44,"services","divorced","secondary","no",-389,"yes","yes","unknown",5,"jun",52,1,-1,0,"unknown","no"
31,"management","single","tertiary","no",0,"yes","no","cellular",15,"apr",185,2,-1,0,"unknown","no"
59,"services","married","secondary","no",2965,"yes","no","cellular",13,"may",1970,3,-1,0,"unknown","yes"
32,"entrepreneur","single","tertiary","no",-34,"yes","no","cellular",11,"mar",101,1,-1,0,"unknown","yes"
56,"management","married","tertiary","no",67,"no","yes","cellular",29,"aug",88,2,-1,0,"unknown","no"
56,"blue-collar","married","unknown","no",260,"yes","no","telephone",30,"jul",250,2,-1,0,"unknown","no"
42,"services","married","secondary","no",0,"no","no","cellular",15,"jul",194,4,-1,0,"unknown","no"
64,"management","married","unknown","no",2352,"no","no","cellular",3,"nov",181,4,183,7,"success","yes"
40,"blue-collar","single","secondary","no",322,"yes","no","cellular",7,"may",201,1,-1,0,"unknown","no"
27,"technician","single","secondary","no",639,"yes","no","cellular",16,"apr",119,1,314,5,"success","no"
29,"unemployed","single","primary","no",34,"no","no","cellular",5,"feb",227,1,-1,0,"unknown","no"
31,"services","single","secondary","no",695,"yes","no","cellular",3,"apr",314,1,318,1,"failure","no"
41,"blue-collar","divorced","secondary","no",-333,"yes","no","cellular",30,"jan",118,3,270,2,"failure","no"
34,"management","married","tertiary","no",1483,"yes","no","cellular",21,"nov",91,1,-1,0,"unknown","no"
37,"unemployed","single","secondary","no",756,"yes","no","unknown",2,"jun",74,1,-1,0,"unknown","no"
31,"entrepreneur","single","secondary","no",0,"yes","no","cellular",15,"may",56,1,176,1,"failure","no"
44,"self-employed","married","tertiary","no",8402,"yes","no","cellular",18,"aug",515,5,-1,0,"unknown","no"
31,"blue-collar","married","primary","no",1654,"yes","no","cellular",18,"may",288,1,-1,0,"unknown","no"
51,"management","married","tertiary","no",22557,"yes","no","telephone",23,"jul",71,3,-1,0,"unknown","no"
31,"management","divorced","tertiary","no",1742,"yes","no","cellular",20,"apr",156,1,-1,0,"unknown","no"
57,"retired","married","primary","no",0,"yes","no","cellular",6,"may",62,2,273,2,"failure","no"
40,"management","married","secondary","no",394,"yes","no","cellular",16,"jul",60,5,-1,0,"unknown","no"
44,"unemployed","married","secondary","no",-407,"yes","no","unknown",9,"may",119,2,-1,0,"unknown","no"
25,"technician","single","secondary","no",173,"yes","no","cellular",15,"may",186,2,-1,0,"unknown","no"
55,"blue-collar","married","primary","no",680,"yes","no","unknown",14,"may",321,1,-1,0,"unknown","no"
59,"retired","married","primary","no",94,"no","no","cellular",12,"aug",256,2,-1,0,"unknown","no"
32,"blue-collar","married","secondary","no",1914,"yes","no","cellular",14,"may",532,1,358,1,"failure","no"
36,"technician","single","secondary","yes",12,"no","no","cellular",12,"aug",587,2,-1,0,"unknown","yes"
29,"management","single","tertiary","no",1275,"yes","yes","cellular",27,"feb",45,1,-1,0,"unknown","no"
26,"admin.","single","secondary","yes",-930,"yes","no","cellular",14,"may",786,1,-1,0,"unknown","yes"
55,"admin.","married","secondary","no",1232,"no","no","cellular",27,"aug",97,7,-1,0,"unknown","no"
35,"technician","divorced","secondary","no",0,"no","no","cellular",25,"aug",124,4,-1,0,"unknown","no"
32,"services","single","secondary","no",187,"yes","no","unknown",29,"may",315,1,-1,0,"unknown","no"
55,"blue-collar","divorced","primary","no",962,"no","yes","telephone",28,"jan",88,2,-1,0,"unknown","no"
27,"blue-collar","single","primary","no",232,"yes","no","cellular",26,"oct",701,2,-1,0,"unknown","yes"
57,"housemaid","married","secondary","no",271,"no","no","cellular",31,"jul",81,4,-1,0,"unknown","no"
26,"student","single","secondary","no",0,"no","no","cellular",17,"aug",237,1,82,2,"failure","no"
40,"technician","married","secondary","no",2338,"no","no","cellular",16,"oct",717,2,-1,0,"unknown","yes"
40,"housemaid","married","secondary","no",3944,"yes","no","unknown",12,"jun",64,6,-1,0,"unknown","no"
50,"management","married","tertiary","no",0,"yes","no","unknown",6,"jun",243,7,-1,0,"unknown","no"
37,"technician","married","tertiary","yes",-681,"yes","yes","cellular",11,"aug",280,3,-1,0,"unknown","no"
35,"admin.","single","secondary","no",289,"yes","no","cellular",28,"jul",48,10,-1,0,"unknown","no"
49,"self-employed","divorced","secondary","no",-478,"yes","yes","cellular",20,"nov",291,1,-1,0,"unknown","no"
35,"blue-collar","married","primary","no",0,"no","no","cellular",21,"jul",145,3,-1,0,"unknown","no"
81,"retired","married","primary","no",5220,"no","no","telephone",13,"nov",135,1,94,2,"other","yes"
31,"blue-collar","single","secondary","no",509,"yes","no","unknown",23,"may",183,1,-1,0,"unknown","no"
27,"admin.","single","secondary","no",1,"yes","no","unknown",12,"may",86,1,-1,0,"unknown","no"
46,"blue-collar","married","primary","no",587,"yes","no","unknown",8,"may",173,2,-1,0,"unknown","no"
33,"management","married","secondary","no",588,"yes","no","cellular",18,"may",11,5,-1,0,"unknown","no"
53,"unemployed","divorced","secondary","no",0,"no","no","unknown",20,"jun",101,2,-1,0,"unknown","no"
43,"admin.","married","secondary","no",1159,"yes","no","cellular",14,"apr",114,2,-1,0,"unknown","no"
22,"student","single","secondary","no",224,"no","no","unknown",14,"sep",5,1,-1,0,"unknown","no"
52,"admin.","single","unknown","no",2227,"no","no","cellular",24,"feb",242,2,-1,0,"unknown","yes"
49,"technician","divorced","secondary","no",972,"no","no","cellular",16,"nov",104,3,175,2,"failure","no"
40,"blue-collar","single","secondary","no",406,"no","no","cellular",17,"nov",205,2,-1,0,"unknown","no"
25,"student","single","secondary","no",331,"no","no","telephone",26,"aug",170,4,-1,0,"unknown","yes"
39,"self-employed","married","primary","no",2077,"yes","no","cellular",31,"jul",88,21,-1,0,"unknown","no"
29,"management","single","tertiary","no",0,"yes","no","cellular",12,"may",116,2,-1,0,"unknown","no"
36,"blue-collar","married","primary","no",378,"yes","no","cellular",5,"may",1240,1,-1,0,"unknown","yes"
36,"management","single","tertiary","no",0,"yes","no","unknown",29,"may",211,6,-1,0,"unknown","no"
30,"admin.","single","secondary","no",2702,"yes","no","cellular",24,"jul",129,2,-1,0,"unknown","no"
39,"self-employed","married","secondary","no",266,"no","no","cellular",11,"may",102,2,-1,0,"unknown","no"
28,"blue-collar","single","secondary","no",9,"yes","no","unknown",17,"oct",115,1,-1,0,"unknown","no"
34,"blue-collar","married","secondary","no",504,"yes","no","unknown",28,"may",260,2,-1,0,"unknown","no"
33,"management","married","tertiary","no",8339,"yes","no","cellular",5,"may",335,2,165,5,"other","no"
